food,packaging,clothing&shoes,electricity,hot water,paper,litter,commuting
395.4337551,15.75712512,107.2,726.88,9.252653061,56.244464,116.6517792,0
393.6350566,64.48789908,107.2,372.526,8.656530612,15.988832,9.288883968,0
439.1558002,143.7984702,184,648.41,5.552040816,28.960464,48.604908,0
577.8111501,21.91256496,160.8,776.44,12.99530612,31.4742784,9.7209816,0
369.7429361,69.43546368,184,885.83544,11.57632653,1.509264,145.814724,0
762.8000309,58.16289996,184,547.2223766,15.77932128,22.2782784,20.70690593,0
574.0306035,60.440688,184,622.804,24.16020408,6.868832,97.209816,0
875.9239763,133.0289532,184,759.92,28.16938776,20.4688032,48.604908,2.004
576.3889108,15.7655718,184,615.2461,7.616020408,24.6704928,48.604908,91.7832
588.3238643,10.95628248,79.2,457.2736,1.912244898,0.1790464,38.8839264,0
572.516565,139.0545644,184,474.95,10.0755102,30.7504928,65.39790371,0
386.1304035,64.74724344,107.2,250.5258,3.61877551,34.3850784,48.604908,0
834.148029,69.40167696,130.4,48.2384,10.0755102,30.8839392,14.31949195,0
848.2864856,35.92560708,132.8,379.96,4.523469388,0.3428928,68.0468712,0
588.523953,118.2284928,104.8,725.228,11.57632653,34.206032,9.7209816,0
596.9764589,20.94745356,160.8,603.5582,12.17244898,31.7682176,48.604908,0
501.8547665,37.54830816,156,684.32448,11.55553061,44.2711104,68.0468712,0
1386.607957,84.49526844,184,821.87,18.09387755,65.3678176,68.0468712,0
519.3330397,10.95628248,76.8,438.3306667,4.832040816,3.4892928,48.604908,0
217.3842654,37.9209006,212,420.021,9.046938776,0.5936928,9.7209816,0
417.3791934,39.64840308,79.2,597.198,13.83595918,31.1043392,106.9307976,0
357.520378,25.3588104,53.6,500.556,7.751836735,15.3942464,9.7209816,0
694.5319756,98.8073856,440,621.152,28.39402041,43.8318784,87.4888344,0
378.0848766,81.50326668,314.4,387.8896,5.94244898,19.4738784,106.9307976,0
356.4777502,102.1826164,79.2,520.38,18.09387755,34.221232,38.8839264,0
584.686079,31.2714864,158.4,597.198,4.523469388,30.8991392,19.4419632,0
704.9188727,51.80411412,235.2,441.91,9.581795918,18.998432,58.3258896,0
519.0038337,20.43658584,158.4,238.8792,19.12244898,24.9525856,68.0468712,0
642.3798365,92.35287072,209.6,144.7152,20.15102041,25.154432,145.814724,0
856.4814745,59.92982028,79.2,474.95,0,12.956432,27.28217788,0
887.2796806,115.3184551,132.8,699.622,18.60816327,7.9245568,126.3727608,0
606.612089,55.91639592,79.2,487.5052,10.95565306,12.5028928,48.604908,0
611.6968307,10.95628248,104.8,785.526,14.08469388,31.3146784,14.90396596,0
360.7180926,76.93705404,286.4,924.294,8.780408163,27.9925856,116.6517792,3.2064
790.8210855,142.9969741,465.6,1065.896506,13.64221359,23.4142496,77.7678528,0
533.1482161,20.43658584,104.8,533.2656,12.58387755,31.318032,29.1629448,0
751.1746455,23.509926,158.4,186.676,6.641428571,12.3770464,29.9957899,0
507.9002896,43.82512992,256,505.512,9.869795918,21.9353856,68.0468712,0
565.7054892,22.56170796,135.2,646.758,9.067959184,10.3082784,97.209816,0
